product_name,product_price,product_quantity,date_updated
Bagel - Whole White Sesame,$4.30,97,2018-11-01 00:00:00
Sauce - Caesar Dressing,$8.25,16,2019-04-10 00:00:00
Shiratamako - Rice Flour,$7.99,71,2018-03-07 00:00:00
Tart - Raisin And Pecan,$1.06,86,2019-01-18 00:00:00
Radish,$2.47,22,2018-11-06 00:00:00
Juice - V8 Splash,$1.15,67,2018-01-13 00:00:00
Red Currants,$6.77,49,2018-10-01 00:00:00
Soup - Base Broth Beef,$5.44,62,2019-03-09 00:00:00
Tomatoes Tear Drop Yellow,$0.64,73,2019-02-09 00:00:00
Mussels - Cultivated,$9.34,24,2018-07-31 00:00:00
"Bread - Crumbs, Bulk",$4.49,88,2019-01-12 00:00:00
"Beans - Long, Chinese",$4.73,47,2018-09-22 00:00:00
"Beans - Navy, Dry",$4.60,44,2018-01-20 00:00:00
"Basil - Dry, Rubbed",$8.69,21,2018-02-04 00:00:00
Apple - Granny Smith,$5.06,72,2018-01-12 00:00:00
"Lid - High Heat, Super Clear",$1.23,5,2018-02-09 00:00:00
Oranges - Navel,$4.78,46,2018-06-06 00:00:00
Berry Brulee,$7.59,50,2018-08-25 00:00:00
Lobster - Canned Premium,$7.61,57,2018-04-15 00:00:00
Ham - Procutinni,$5.70,8,2019-01-09 00:00:00
Veal - Ground,$7.67,5,2018-12-19 00:00:00
Oil - Cooking Spray,$4.20,6,2018-06-11 00:00:00
"Extract - Vanilla,artificial",$2.91,20,2018-06-08 00:00:00
"Mushroom - Porcini, Dry",$8.14,71,2018-07-26 00:00:00
Wine - Chateau Bonnet,$7.41,54,2018-03-10 00:00:00
Tealive,$3.00,20,23/07/2020
Test1,$2.90,2,23/07/2020
test2,$0.23,29,23/07/2020
yu,$23.00,2,23/07/2020
